Timestamp,Locality,Latitude,Longitude,Signal Strength (dBm),Signal Quality (%),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
15:09.9,Boring Canal Road,25.629252902342,85.1116688936808,-93.6365110323503,0,60.4396567882395,14.4395787685392,5G,-94.165955594286,-101.33471967634,-91.4491293752143
26:55.7,Kidwaipuri,25.6579363835235,85.211493412197,-89.441407162379,0,21.3151842093003,39.483862017282,5G,-84.6954890490257,-99.1804140171541,-88.3482438786193
30:02.9,Pataliputra,25.7376971060751,85.0897885740284,-107.811668293976,0,57.7843910570884,33.8052669962272,5G,-112.712430082698,-115.491192496709,-105.030672848651
58:07.8,Boring Road,25.5324215419398,85.1665749974964,-91.3461794046673,0,95.1810861835365,45.7023290994589,5G,-92.1516994650942,-97.4443518896329,-91.4881650048607
07:29.4,Phulwari Sharif,25.6692306920117,85.2689751650088,-103.741908280704,0,66.5590642677099,29.2746991709846,5G,-105.124805732108,-108.995865146351,-102.948951285585
26:12.7,Fraser Road,25.4493922926724,85.1766776621471,-101.497906184637,0,11.3599615793027,48.6006147781788,5G,-103.988975727726,-108.117774744375,-100.258126965365
32:27.1,Gardanibagh,25.4368107727036,85.2068169439325,-94.7298963697625,0,49.4546482027685,49.850491460995,5G,-97.4381768576209,-101.995516540382,-93.7058432174686
57:24.8,Kankarbagh,25.5474988244505,85.1452046733421,-96.3127811678371,0,74.3177147417851,45.2625381976302,5G,-93.9996159708041,-102.826404072567,-94.7969514034061
09:53.6,Gardanibagh,25.4230544638138,85.1300079415033,-84.6131000220437,0,22.0285523269466,27.754367536852,5G,-85.1053371831801,-89.820610843705,-85.026578846304
22:22.5,Bailey Road,25.6089364298843,85.2487223609044,-96.5720300577679,0,43.433734929349,34.7410823487274,5G,-95.2413035227728,-104.225603921139,-96.9136738837854
50:27.4,Ashok Rajpath,25.6862962321169,85.1379785022542,-98.5752409148331,0,64.0253314475233,12.1405785165217,5G,-99.8099380369401,-107.414962216327,-99.9830202452212
53:34.6,Pataliputra,25.5476485854493,84.9866466632488,-108.737524213626,0,63.721962149199,49.9823081300175,5G,-106.043035272805,-116.748195698539,-106.772205899981
56:41.8,Kidwaipuri,25.6452320795325,84.965671726627,-97.4986508807581,0,50.4134891137113,19.4991422700903,5G,-102.002507147369,-103.87565944652,-99.8290928810146
21:39.5,Patliputra Colony,25.5005296868885,85.0680944152222,-99.256852251564,0,52.8036572639807,26.3099242001092,5G,-102.644664131812,-105.97480423406,-96.4299468073543
31:01.1,Ashok Rajpath,25.4778249773002,85.1889866891249,-83.2489709999713,0,37.7621453340535,32.9216880247606,5G,-84.9968590372092,-93.0526239287631,-84.6169793679052
43:29.9,Boring Canal Road,25.5610484802122,85.2759328216683,-91.6132023915679,0,14.6164464083094,29.7014152285715,5G,-92.1921320447707,-99.9411964966241,-92.2457684996543
08:27.6,Kidwaipuri,25.6450546871203,85.0140537660218,-87.9087982262121,0,44.9853713088892,19.6119649380146,5G,-91.9591454739284,-96.3342060032677,-90.3289292204856
11:34.8,Bankipore,25.6616677889189,85.2125247166167,-102.944092376601,0,76.4655290659466,36.6646833951748,5G,-106.74847239908,-110.080878111023,-104.403631398742
14:42.0,Anisabad,25.5355727443289,85.1455581505817,-90.3929290966276,0,68.6710779006214,43.2966873364101,5G,-85.6381988134873,-98.0221076152676,-92.9927658081949
20:56.5,Kidwaipuri,25.6962704080649,85.1795723881952,-95.0057339453773,0,19.5703567613404,14.5655987723852,5G,-90.5952513449935,-100.642458584497,-95.2932143645091
36:32.5,Rajendra Nagar,25.5313141612714,85.1746649457563,-101.777647497881,0,66.3085710484548,32.8643059793177,5G,-104.929263518411,-111.479712011115,-101.151491579592
45:54.1,Bankipore,25.6557129155469,85.1814389776652,-94.7384072608875,0,96.6843124358559,14.5901439765534,5G,-94.8343220690324,-103.890886801557,-97.4325579987529
01:30.2,Pataliputra,25.6453395676445,85.0085653543896,-96.5567571338801,0,65.0481777450993,21.8299025038008,5G,-98.9993201183971,-104.919652340212,-98.5690340544611
20:13.4,Anisabad,25.6295635415656,85.3100059436489,-100.299750394923,0,44.5057426952433,16.7311435403085,5G,-96.9353284702248,-107.555202236723,-102.164575640581
23:20.7,Gardanibagh,25.6319967336179,85.1282285137055,-96.9211900923183,0,72.5668719589059,35.1851337975437,5G,-93.2863440086272,-106.259750354063,-94.0556503302481
29:35.1,Kumhrar,25.6856517729302,85.138545583128,-102.045534638779,0,10.0204334396429,46.600061509901,5G,-98.6067405264705,-108.334073481345,-104.038647064903
38:56.7,Boring Road,25.5210548050792,85.1110168343406,-98.5509347472085,0,30.153212901693,24.5309118559559,5G,-99.164459744748,-103.663453456164,-96.7037408731046
16:23.2,Anandpuri,25.711067470872,85.2462105579863,-91.3327355842945,0,27.683827026059,18.4698344820967,5G,-95.9177623291955,-99.7223979083159,-90.9742676162925
25:44.9,Gandhi Maidan,25.6287004700838,85.1487610688135,-95.5305975778466,0,17.6862727146449,48.898455601116,5G,-95.3504932640856,-102.459666356251,-97.1109388816016
35:06.5,Gandhi Maidan,25.6986004813249,85.2131032234321,-102.081135278963,0,76.9091656560575,31.3130814960557,5G,-98.4744570610743,-108.606543380055,-105.017828544262
44:28.1,Exhibition Road,25.7698536597203,85.1739404942809,-95.6608467782218,0,44.8500827089186,21.3106182824039,5G,-97.6159425346815,-100.746112380448,-94.8041822973422
50:42.5,Kankarbagh,25.5885828160758,85.1232128051872,-94.8074817718259,0,77.529769823796,22.4286131324578,5G,-94.6625857487055,-100.52330502321,-95.0062131770873
53:49.8,Gandhi Maidan,25.4785110597187,85.203854306802,-87.7970745969906,0,88.6612304177844,18.8285034377767,5G,-91.2125942250915,-97.4860491393621,-85.8608570666873
06:18.6,Pataliputra,25.7602097714476,85.0774515828328,-91.9770382764874,0,33.2839852674071,23.8876867024884,5G,-89.0352148233156,-98.8509576513302,-89.35119959674
12:33.0,Bankipore,25.5854061989761,85.2649376531878,-96.4912974365745,0,26.6867965336648,17.2825251552742,5G,-96.3626686428046,-102.267309530633,-99.0136669746195
59:21.2,Phulwari Sharif,25.6450876521576,85.2026887230444,-91.6753549004708,0,32.8041458946401,45.8030623664738,5G,-90.936063539241,-99.9214667854193,-89.6791924223743
02:28.4,Anandpuri,25.7294793541975,85.2405486676516,-98.8248587668929,0,28.5059338929406,34.5473275091497,5G,-101.593995421603,-106.096515442049,-97.7210079874021
27:26.1,Rajendra Nagar,25.5042853379418,85.2479306792845,-90.7663121123433,0,55.6650788576641,27.660156931247,5G,-94.4595858082106,-99.31131516452,-88.5525574822179
36:47.7,Danapur,25.60542938254,85.2522603434218,-98.9999654734751,0,73.2164829279581,21.9783089573701,5G,-101.311396344433,-104.010078195683,-96.8511319233152
43:02.1,Rajendra Nagar,25.5181854635083,85.1930047666302,-91.3858655250724,0,69.9352449472417,42.906298739217,5G,-96.2530534904866,-98.6757890326738,-91.6284876600393
49:16.5,Kumhrar,25.553215503971,85.0976611966977,-93.5508784172476,0,18.6976525748384,20.966561506892,5G,-95.3503111483947,-99.7351281285198,-91.7373833418369
58:38.2,Rajendra Nagar,25.5658413931506,85.2600758642557,-101.320030839736,0,60.7363391300859,18.1991693130364,5G,-98.900076928475,-111.058635323393,-99.2047749704838
01:45.4,Patliputra Colony,25.4223821520221,85.1445697956821,-96.8917594129988,0,20.2281434827047,10.1567349980437,5G,-91.8971526024021,-102.880390927261,-95.1714213245975
04:52.6,Gardanibagh,25.639995063028,85.0016755872922,-94.2734097233713,0,52.4189614694561,49.2439049805403,5G,-91.8696267539611,-103.683379590274,-92.7341747200138
17:21.4,Bankipore,25.6859426522898,85.2698852963878,-92.5170916472503,0,60.9167823463811,10.6124234650762,5G,-89.7113643890409,-100.709055055123,-93.0785804012375
20:28.6,Anisabad,25.5005580761547,85.1894226793184,-94.5104313119568,0,76.6458569096486,40.2770738050805,5G,-93.4432692922567,-103.676494636038,-92.7259079883068
26:43.1,Bankipore,25.630946433097,85.0673357429104,-98.6488764158718,0,44.5552308013739,27.7776383068599,5G,-102.232703966005,-108.136394769925,-98.43608671793
29:50.3,Fraser Road,25.7433879743167,85.1580818541759,-94.9259038421851,0,80.0118466073683,25.2945332424651,5G,-95.494630388956,-103.044951498337,-95.7218607505215
32:57.5,Bailey Road,25.6896287380746,85.1875845846383,-95.5740112437953,0,52.0014840247777,12.1083915941375,5G,-100.198348948355,-101.988104008561,-95.3454432590686
39:11.9,Fraser Road,25.6226821724425,85.051119640548,-94.9300909201533,0,84.7182595911185,36.560489122704,5G,-96.5464122609012,-100.252475806359,-92.4568454926582
57:55.2,Danapur,25.4501061921934,85.2273018254818,-91.5541777146283,0,28.1057709059991,13.2025361011586,5G,-91.809645916183,-101.504331540955,-94.0455807880703
07:16.8,Pataliputra,25.63539055138,85.2310972676363,-103.773943710611,0,70.882492914317,17.5973106492143,5G,-100.58647560677,-113.190498110932,-102.837935582693
13:31.2,Patliputra Colony,25.6906557747386,85.2246284912631,-95.2064634350364,0,83.6733907335797,45.9840237905294,5G,-92.3871376371543,-104.229668630793,-97.6859716220281
26:00.0,Kidwaipuri,25.5533394657261,85.0484852127519,-97.3347113787691,0,16.5462635599476,41.6052549490443,5G,-100.156903361093,-103.949522304359,-95.5154386393045
38:28.9,Rajendra Nagar,25.6138045629877,85.3139445836526,-103.734478456727,0,33.7869777496379,21.4896539189936,5G,-103.621087558766,-109.701049182909,-106.435290997762
03:26.6,Rajendra Nagar,25.7133592857562,85.0225332963168,-98.1964290865702,0,13.5601755906351,26.1215503162852,5G,-96.7048894382615,-104.706076354553,-97.3675896714726
06:33.8,Ashok Rajpath,25.7258066777565,85.1415008486777,-87.4227759582387,0,22.2852710875223,19.1468300553841,5G,-83.5978249075574,-97.3221673489734,-85.9064131312829
22:09.8,Boring Road,25.7470526729144,85.2196047356152,-88.4952924348415,0,75.6569279778794,10.8136432752871,5G,-91.4434210057934,-96.0598797132236,-86.2257776284474
25:17.0,Phulwari Sharif,25.5417106961983,85.0990534224492,-101.964045540942,0,93.2044854496647,30.8697290316365,5G,-106.829951002221,-111.866814248844,-99.1262757312301
59:36.3,Kidwaipuri,25.7033669841739,85.053712352267,-97.8047798869421,0,53.8721051917576,24.5648422736602,5G,-96.4109156724011,-107.159597842495,-98.2228813186878
05:50.8,Anandpuri,25.6556516557898,85.0251290831257,-85.1280162775998,0,54.0390472727609,30.5030486369684,5G,-87.4502731315586,-92.8532623933898,-85.3033062955236
37:02.9,Anisabad,25.4554670064337,85.0318065164756,-96.0130838380216,0,95.1106183345724,26.3570894302668,5G,-94.3933854435152,-103.688809933955,-95.2295516541703
52:38.9,Gardanibagh,25.6358517222723,85.0800861954838,-88.5208646411365,0,55.0322524345951,24.3005331370894,5G,-90.7465972931267,-95.3068543903261,-87.364057449357
55:46.1,Gandhi Maidan,25.6324811814053,85.1217162141837,-92.1678748600611,0,62.1669212381636,32.2210027225087,5G,-89.7716580135312,-99.6716603224373,-93.5341608958123
14:29.4,Ashok Rajpath,25.5183898811674,85.1822376998471,-83.9540801665566,0,19.3055442967037,27.2603247939056,5G,-86.6548964579402,-91.3743507739294,-85.4331176470134
30:05.4,Anandpuri,25.5565398338726,85.0570155643909,-84.1022868001211,0,19.7269744299749,27.4497779345726,5G,-79.382778347523,-93.9145251998209,-85.2062584629227
33:12.7,Kankarbagh,25.7006112851143,85.1364103609039,-97.06258766678,0,52.7823160912781,24.5405782947706,5G,-95.652527093573,-102.556291627797,-99.0790660944984
55:03.1,S.K. Puri,25.4760307717809,85.114713074356,-84.5063382297478,0,97.8470499225267,31.2921745539266,5G,-80.4531199459869,-94.0911444406969,-86.3600270174957
58:10.3,Pataliputra,25.5509142520545,85.2570476026894,-101.92704695909,0,11.6254197783964,29.3091354990713,5G,-103.616884364141,-108.225531659595,-103.050482594559
10:39.2,Phulwari Sharif,25.6574495515953,85.2025894714909,-97.9771160143802,0,52.083005364889,44.9975762241068,5G,-94.8688348807575,-103.072184500386,-95.4178293298743
23:08.0,Gandhi Maidan,25.6798643588369,85.0051213533552,-86.4978535177045,0,96.0519570708132,37.9309037412218,5G,-89.4201472233072,-96.3964519432316,-86.6213587259419
26:15.2,Bailey Road,25.7521573277193,85.0630521554079,-93.043953363813,0,87.1988993535198,29.7993117884984,5G,-96.7346408425452,-99.5628461832066,-94.8075106841899
35:36.9,Kankarbagh,25.5067683498325,85.0843598588914,-89.9118153727316,0,86.728486677037,20.317580271476,5G,-89.9966731144133,-95.0341787276271,-90.9123649294272
41:51.3,Phulwari Sharif,25.6065351258697,85.2272410265856,-90.0432386022415,0,47.7178978303869,41.3326756087744,5G,-92.3598406894949,-96.5533796476234,-93.033762075774
57:27.3,Bailey Road,25.7404302867496,85.2369222340818,-87.8284516532396,0,58.720184443114,22.9558221032151,5G,-91.4659460023198,-93.3906362941586,-88.003877298914
03:41.8,Gandhi Maidan,25.544558411671,85.2529147393729,-98.5673715905351,0,44.8987895676774,21.4746749993117,5G,-100.881575547205,-104.262056908136,-101.148200066427
06:48.9,Bankipore,25.6406846370171,84.9863179541277,-102.533064145716,0,70.3672480424596,43.8942021563746,5G,-107.437674605461,-110.518613990466,-100.089605142054
16:10.6,Exhibition Road,25.6285082535829,85.2859909475022,-100.038409127577,0,49.6689221292887,29.1588224581388,5G,-96.0684683457205,-108.064405285262,-97.3184635382544
02:58.7,Fraser Road,25.5247794974591,85.1726120358644,-92.2184549398175,0,20.480097167624,33.8589831017581,5G,-94.4686630200811,-101.820229294643,-92.6408384791262
09:13.2,Gandhi Maidan,25.4574671672854,85.1392057288185,-92.3251466381811,0,78.4611785098869,47.100142051863,5G,-92.7423144743184,-99.0279183446029,-89.8384007328955
34:10.8,Kankarbagh,25.756972332783,85.1706731862742,-89.8357093556721,0,65.9642108131374,34.0543842911341,5G,-89.3752100368444,-96.8841434940467,-87.2277976394287
46:39.7,Bailey Road,25.5320963978998,85.1561414130319,-100.209066840022,0,49.1191586245975,23.2317997912417,5G,-103.422438786631,-106.38240468535,-98.4911360032065
11:37.4,Ashok Rajpath,25.5705008284807,85.0631572693267,-96.5504939668841,0,99.9546715376849,20.5227885533416,5G,-95.7896851767391,-103.068305003373,-98.5627304874916
20:58.9,Exhibition Road,25.4531793262153,85.169776656032,-83.6029163157431,0,18.5541812795517,48.0213789811266,5G,-78.7987727134151,-90.8756328387807,-80.9025013841027
30:20.6,Danapur,25.4658444101697,85.0597561796113,-100.378683242208,0,85.4827516265545,33.2872294457855,5G,-102.890520088825,-107.072516325898,-99.1192529675304
45:56.7,Anisabad,25.6721384615196,85.0549106487239,-91.4402126664136,0,80.4386406540589,28.2127364024771,5G,-89.4594692816271,-99.5004518231392,-93.4807331962689
49:03.9,Gardanibagh,25.4898508515172,85.201330942277,-99.8452552576879,0,44.4791290231526,43.4228283985824,5G,-95.1731231896052,-107.651978350936,-100.485138225201
58:25.5,Ashok Rajpath,25.4810877611884,85.1685459240133,-100.657028050675,0,71.9166556106838,41.6982667655705,5G,-102.589085219574,-110.476841163179,-98.0603533025487
01:32.7,Phulwari Sharif,25.5097032017789,85.0098799356142,-90.5630881792943,0,89.6114788352436,18.5822608532,5G,-89.2225376191845,-96.7586308144881,-87.6469206101157
14:01.6,Kumhrar,25.6515162940794,84.9952432021035,-89.3299974959262,0,80.8525272402426,26.3496414703249,5G,-86.0965227264648,-95.9269781453304,-87.5901489385072
26:30.4,Gandhi Maidan,25.6797825912088,85.1392807865113,-86.86462865762,0,44.7522758675714,41.4771242358664,5G,-85.6656491400165,-96.4509532423088,-84.9207463226776
32:44.8,Fraser Road,25.5064541310468,85.2076292339338,-99.6901145345282,0,67.0827388106383,24.1562266884726,5G,-98.6568588780823,-108.130108003986,-97.2311726895359
42:06.5,Rajendra Nagar,25.523753249853,85.0688597816019,-101.672270405764,0,10.0848738274741,40.2860232122975,5G,-96.8201971466536,-107.622704804234,-101.911030696824
51:28.1,Gardanibagh,25.6839184248501,85.158120722259,-105.854914675783,0,12.181623312015,35.0007781667241,5G,-108.329229084406,-112.510146125442,-104.372863678202
19:32.9,Patliputra Colony,25.6473948132045,84.9926676048401,-90.6049292272149,0,91.7231388702149,19.4274845732283,5G,-86.5223436804443,-99.0575213312406,-87.7464498929106
38:16.2,Gardanibagh,25.538876092456,85.2176517446725,-96.2762907833109,0,17.4634437258753,35.6710161776404,5G,-96.556917125758,-101.736837781246,-97.0971556067658
44:30.7,Kidwaipuri,25.4771395522729,85.0806658884772,-92.60102642856,0,28.7524710167371,28.4708146558511,5G,-88.4975629654734,-100.967321116173,-92.6086442380084
56:59.5,Phulwari Sharif,25.4871803544416,85.1075586689354,-85.9618459716465,0,77.4988285941977,30.3955979282244,5G,-89.9136195622389,-91.670389293881,-87.1032584725354
46:54.9,Ashok Rajpath,25.6794568354449,85.2307959539879,-94.2442112737319,0,62.9883517208508,41.5947242951897,5G,-92.6818123412483,-101.200419648084,-94.7735191088173
02:30.9,Boring Road,25.6782666738063,85.2401046223442,-100.239138521271,0,88.9227038683762,37.0422402005301,5G,-101.66930159987,-107.675698159627,-99.1846579591883
05:38.1,Danapur,25.6122763128936,85.109913185426,-88.6416738335175,0,11.3934213223763,20.9166864129748,5G,-93.617127969079,-96.5631172877682,-87.2717807705551
24:21.4,Kankarbagh,25.5339139303964,85.2900609214414,-90.6287609459146,0,11.0714021963065,29.9405784395622,5G,-92.1286913028078,-97.727099994625,-92.2760166254886
36:50.2,Fraser Road,25.5277062738555,85.1709741544573,-98.6279214902465,0,96.6479812681893,23.9228148344456,5G,-100.162912616589,-105.64951831113,-95.8020695110861
55:33.5,Pataliputra,25.5981646468941,85.2470944836583,-94.4062588998013,0,32.8492761511628,15.5623650317571,5G,-97.2164566008858,-101.517443562312,-97.0154518911376
04:55.1,Patliputra Colony,25.6580796827807,85.0234806698592,-94.255956191602,0,63.5093544350491,33.5750549059246,5G,-92.4136690827218,-102.406315715073,-94.562077547219
11:09.5,Anisabad,25.6156393226198,85.161541770353,-87.9483702202475,0,68.0528201096755,43.9428963832818,5G,-88.9320681369198,-93.7985826744666,-90.0218805542075
13:33.7,Exhibition Road,25.5936525822262,85.1353878949542,-93.4547658248798,0,96.2605320807212,48.3501846485961,5G,-94.0351247354121,-100.232191702705,-92.8565410058153
19:48.2,Danapur,25.6575804487917,85.057493493012,-99.1659720126793,0,31.4843215541557,37.5936513374385,5G,-98.5103287569998,-108.778543025426,-101.190202234785
26:02.6,S.K. Puri,25.4769619961438,85.2579155853907,-96.2494686790602,0,24.2319381147428,44.4241796139883,5G,-96.7740463243974,-101.664360119657,-96.4422491972566
38:31.4,Fraser Road,25.5115476982291,85.0286439033915,-97.0703221640016,0,12.8610234599623,36.9692579899412,5G,-98.0563510008746,-104.262699170135,-96.2485764558768
57:14.7,Gandhi Maidan,25.7388089341057,85.0625188460824,-97.0521614814116,0,65.2639246275307,30.4105058488259,5G,-97.7143174593379,-104.085806016471,-98.6517887710412
06:36.3,Anandpuri,25.7057297240465,85.201080691313,-89.3828635645211,0,79.852546332237,31.4029499911685,5G,-86.407973787391,-96.4038259025713,-90.495586978901
09:43.5,Patliputra Colony,25.6326415973769,85.0749335905954,-91.6150295131247,0,73.6423766142117,23.1884870165681,5G,-92.7075260360338,-97.910982689461,-91.0062029078374
19:05.2,Boring Canal Road,25.6161564181644,85.191660749189,-99.8911042682719,0,97.5952136470067,23.9999009143047,5G,-96.4324352062236,-105.164272405125,-97.7028204910201
25:19.6,Bailey Road,25.7000819273099,85.0614791519224,-96.8179393840921,0,33.3775842492318,32.0596118140534,5G,-97.3006135353317,-106.739067435234,-94.8740290333818
28:26.8,Gardanibagh,25.5907064067505,85.0514093003381,-93.8959950270373,0,67.3863791451637,22.1541432347289,5G,-93.4907025161479,-102.947061139864,-95.7747617406165
44:02.8,Kumhrar,25.5523595806802,85.1666503511635,-87.7078364828661,0,48.9378232543632,28.7233624075058,5G,-82.8442785278087,-95.5812957313603,-87.0834038792717
24:36.6,Rajendra Nagar,25.4781644736865,85.0365290551763,-97.2234501357643,0,53.3220248897067,37.2024411322734,5G,-93.2506234144091,-106.542579423956,-98.7212118315225
27:43.8,Pataliputra,25.4321579209382,85.156972328509,-101.739074730047,0,48.7634798528564,28.9338352371047,5G,-99.2968580019539,-107.913731858161,-103.787738920297
33:58.2,Bailey Road,25.6509399827259,85.0633646527158,-93.9076146604323,0,96.1117142057767,16.154002214691,5G,-94.1227060614801,-101.2195861268,-93.9561161419181
49:34.3,Danapur,25.6565505599057,85.0821726494254,-108.702132110174,0,64.3010468780578,11.2528714088863,5G,-112.513740766235,-117.142681361152,-109.039702445707
58:55.9,Fraser Road,25.5119138925923,85.1028798975586,-92.2980797611316,0,10.3159765819585,11.6007856295602,5G,-95.2895676006205,-101.368037601851,-93.7695269899326
17:39.1,Boring Canal Road,25.460076928266,85.0256606516339,-92.2693265970635,0,83.4817653452654,22.0155921583988,5G,-92.9297603401642,-101.854738993499,-94.65629265885
20:46.4,Fraser Road,25.4665176188801,85.0854515498144,-93.8887880652202,0,49.0813026950256,25.4933368342676,5G,-90.4718703842502,-102.791947739893,-92.483478028047
45:44.0,Boring Road,25.5242112199358,85.2259035055063,-88.6375833457562,0,44.5870168804468,12.2136799420181,5G,-85.5388671553429,-93.7167059201808,-86.6934075911365
48:51.3,Kidwaipuri,25.5448994358756,85.2980894017986,-107.515443617447,0,88.5843423270464,11.286498999082,5G,-103.55700471278,-114.255030203049,-106.090214492157
55:05.7,Fraser Road,25.4973650986933,85.2467613969476,-83.3876928317992,0,72.4659467370361,40.7084020623003,5G,-79.4319780409684,-91.6149718004776,-80.6788293146837
58:12.9,Patliputra Colony,25.568378578583,85.2890178947453,-102.21664722705,0,88.2783324610919,41.8764626297051,5G,-103.751696595282,-108.344654541964,-103.641909409141
07:34.5,Anisabad,25.6059226320097,85.2856110048385,-95.4126861280505,0,69.5408111356064,37.5433282391529,5G,-91.6968788755057,-105.243579690192,-95.9867057719653
16:56.1,Danapur,25.6788585607971,85.0343018410896,-99.2509887290732,0,41.3268470110932,14.461333614067,5G,-97.2094412211845,-105.609182215389,-96.870014460029
20:03.4,Phulwari Sharif,25.6224442344345,85.1250210660735,-88.526475451939,0,63.3198866868168,13.9864329939805,5G,-83.5747572281986,-96.5243931460849,-87.6969695395571
38:46.6,S.K. Puri,25.5487833341234,85.3064812065956,-87.9880276774378,0,16.5685365652392,44.6067663257303,5G,-88.6860007127581,-95.0815627999095,-86.4431707218788
48:08.2,Ashok Rajpath,25.5720062473325,85.2455080368337,-105.430141743803,0,17.7928622361415,33.6978176316165,5G,-102.842504236784,-114.476555478779,-105.020891699078
16:13.1,Anisabad,25.5490117464552,85.1597183325888,-93.0806606994367,0,73.2609354541073,13.4697309049341,5G,-96.910214885669,-99.5047013461684,-95.6319611636822
22:27.6,Fraser Road,25.6035916369449,85.1677260789352,-90.2904851911948,0,48.1904325816648,46.6276540020655,5G,-90.3111046572388,-98.2963021169961,-88.7881516286506
50:32.4,Kumhrar,25.7419800922426,85.0705697151071,-90.3328852276206,0,22.6719920988721,30.8281512815845,5G,-87.0425090801944,-100.13368977343,-87.3594912616213
53:39.7,Gardanibagh,25.5497653855319,85.1405764912587,-97.5685673085627,0,68.0369776027413,34.6547972453832,5G,-100.232371323782,-104.85659748722,-99.2353240665869
